NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
WPR21FA233,ACC,2021-06-20T14:40:00Z,White City,Oregon,United States,N2618A,Fatal,1,0,0,42.53817,-122.89871,PIPER,PA-22-135,NA
CEN21LA301,ACC,2021-06-20T14:30:00Z,Wilmington,Ohio,United States,N2932W,None,0,0,0,39.553116,-83.854927,CHRISTEN INDUSTRIES INC,A-1,NA
CEN21LA283,ACC,2021-06-20T13:37:00Z,Edwardsburg,Michigan,United States,N8523Z,Serious,0,1,0,41.7956,-86.0808,AIR TRACTOR INC,AT-502B,LUTES FLYING SERVICE INC
ERA21LA259,ACC,2021-06-20T12:38:00Z,Annapolis,Maryland,United States,N4464Y,None,0,0,0,38.942242,-76.564839,MAULE,M5,NA
WPR21LA241,ACC,2021-06-20T12:30:00Z,Moose Creek Ranger Station,Idaho,United States,N79523,None,0,0,0,46.120751,-114.92733,CESSNA,172,NA
WPR21LA238,ACC,2021-06-20T12:10:00Z,Twisp,Washington,United States,N6917Z,None,0,0,0,48.350585,-120.09395,PIPER,PA-25-235,EVERGREEN SOARING INC
WPR21FA232,ACC,2021-06-20T09:00:00Z,Likely,California,United States,N617Y,Fatal,1,1,0,41.249255,-120.53129,Kitfox,Series 6,NA
CEN21LA287,ACC,2021-06-20T07:00:00Z,Sedgwick,Arkansas,United States,N62375,None,0,0,0,35.986718,-90.895871,GRUMMAN,G164,Scott Flying Service
CEN21LA279,ACC,2021-06-18T20:30:00Z,Portland,Indiana,United States,N310LC,None,0,0,0,40.451543,-84.988608,CESSNA,310R,B & F Aviation Inc
ERA21LA261,ACC,2021-06-18T18:32:00Z,Jupiter,Florida,United States,N2797E,Serious,0,1,1,26.9675,-80.154722,CESSNA,172,Aamro Aviation
CEN21FA277,ACC,2021-06-18T13:57:00Z,Conway,Arkansas,United States,N62WR,Fatal,1,0,0,35.025973,-92.547776,CIRRUS DESIGN CORP,SR20,NA
CEN21LA280,ACC,2021-06-18T12:20:00Z,Hayward,Wisconsin,United States,N729SA,None,0,0,0,46.028601,-91.445696,CIRRUS DESIGN CORP,SR22,NA
ERA21FA258,ACC,2021-06-18T11:06:00Z,Yulee,Florida,United States,N1300Q,Fatal,2,0,0,30.7097,-81.5436,CESSNA,150,A-Cent Aviation Inc.
ERA21LA262,ACC,2021-06-18T08:45:00Z,SWAN LAKE,New York,United States,N371EE,Serious,0,2,0,41.734462,-74.759441,MCDONNELL DOUGLAS HELICOPTER,369E,Haverfield International
WPR21FA231,ACC,2021-06-17T22:53:00Z,Rush Valley,Utah,United States,N6323R,Fatal,2,0,0,40.403089,-112.58235,PIPER,PA-28-140,NA
ERA21FA257,ACC,2021-06-17T20:22:00Z,Kinston,North Carolina,United States,N402SJ,Fatal,1,0,0,35.231441,-77.635695,AIR TRACTOR INC,AT-402B,EASTERN FLYING SERVICE INC
ERA21LA314,ACC,2021-06-17T18:00:00Z,Clarksville,Tennessee,United States,N35585,None,0,0,0,36.622242,-87.414883,CESSNA,172S,Wings of Eagles
ERA21LA276,ACC,2021-06-17T11:35:00Z,WILLIMANTIC,Connecticut,United States,N2517H,Minor,0,0,1,41.736922,-72.181846,SCHWEIZER,SGS 1-26E,CONNECTICUT SOARING ASSOCIATION
ERA21LA260,ACC,2021-06-17T11:15:00Z,ARGYLE,New York,United States,N1182E,Serious,0,1,0,43.254528,-73.470194,BELLANCA,8KCAB,NA
CEN21LA278,ACC,2021-06-17T09:10:00Z,Bridgeport,Texas,United States,N68851,None,0,0,0,33.09,-97.87,CESSNA,152,US Aviation Academy
ERA21LA256,ACC,2021-06-17T08:30:00Z,DeLand,Florida,United States,N966W,None,0,0,0,29.066553,-81.280905,WARE JERRY L,AVENTURA II,NA
CEN21LA274,ACC,2021-06-16T19:05:00Z,Goodland,Kansas,United States,N62069,Minor,0,0,1,39.370627,-101.69898,BEECH,U-8F,BEMIDJI AVIATION SERVICES INC
CEN21LA276,ACC,2021-06-16T17:30:00Z,Collinsville,Texas,United States,N46JS,None,0,0,0,33.560523,-96.915036,AUTOGYRO,CAVALON,NA
CEN21FA272,ACC,2021-06-16T13:45:00Z,Parker,Colorado,United States,N704AK,Fatal,2,0,0,39.507794,-104.85518,ANTENOR VELAZCO,LANCAIR EVOLUTION,NA
CEN21LA275,ACC,2021-06-16T09:25:00Z,Baltimore,Ohio,United States,N85930,Minor,0,0,2,39.843405,-82.578716,AERONCA,11AC,LEUPP MATTHEW
CEN21LA273,ACC,2021-06-16T07:30:00Z,Fort Worth,Texas,United States,N878TD,None,0,0,0,32.93023,-97.411447,TONY DUBEANSKY,RV10,NA
ERA21LA254,ACC,2021-06-15T19:25:00Z,Ozark,Alabama,United States,N4281J,None,0,0,0,31.432919,-85.622618,PIPER,PA-28-140,NA
WPR21LA236,ACC,2021-06-15T17:00:00Z,Townsend,Montana,United States,N398M,None,0,0,0,46.3245,-111.291,BELL,UH-1H,USDA FOREST SERVICE FEPP
CEN21FA270,ACC,2021-06-15T16:32:00Z,Paragould,Arkansas,United States,N6088K,Fatal,1,0,0,36.103922,-90.7146,Air Tractor,502B,Scott Flying Service
WPR21FA228,ACC,2021-06-15T10:45:00Z,Truckee,California,United States,N89423,Fatal,1,1,0,39.305568,-120.15393,CIRRUS DESIGN CORP,SR20,Mountain Lion Aviation
ERA21FA253,ACC,2021-06-15T10:31:00Z,Buckingham,Pennsylvania,United States,N74MS,Fatal,1,0,0,40.327769,-75.114718,VANS,RV6,NA
WPR21FA227,ACC,2021-06-15T08:20:00Z,Gila Bend,Arizona,United States,N8054Y,Fatal,1,1,0,32.944636,-112.71357,COVEY,Tri Quickie,NA
CEN21LA269,ACC,2021-06-14T14:50:00Z,Corpus Christi,Texas,United States,N7476J,Minor,0,0,1,27.774741,-97.510801,PIPER,PA-28R-180,Miguel Hernandez
ERA21LA250,ACC,2021-06-14T12:30:00Z,Matthews,Virginia,United States,N458MA,Minor,0,0,2,37.371667,-76.228333,DIAMOND,DA20,AMERICAN AVIATION LLC
ERA21LA252,ACC,2021-06-14T10:54:00Z,Sylva,North Carolina,United States,N443SH,None,0,0,0,35.317211,-83.209704,ROBINSON HELICOPTER COMPANY,R44 II,Tunica Helicopters
